"86",2244,"Mécaniciens/mécaniciennes, techniciens/techniciennes et contrôleurs/contrôleuses d'avionique et d'instruments et d'appareillages électriques d'aéronefs"
"87",2251,"Technologues et techniciens/techniciennes en architecture"
"88",2252,"Designers industriels/designers industrielles"
"89",2253,"Technologues et techniciens/techniciennes en dessin"
"90",2254,"Technologues et techniciens/techniciennes en arpentage"
"91",2255,"Personnel technique en géomatique et en météorologie"
"92",2262,"Inspecteurs/inspectrices d'ingénierie et officiers/officières de réglementation"
"93",2263,"Inspecteurs/inspectrices de la santé publique, de l'environnement et de l'hygiène et de la sécurité au travail"
"94",2264,"Inspecteurs/inspectrices en construction"
"95",2271,"Pilotes, navigateurs/navigatrices et instructeurs/instructrices de pilotage du transport aérien"
"96",2272,"Contrôleurs aériens/contrôleuses aériennes et personnel assimilé"
"97",2275,"Contrôleurs/contrôleuses de la circulation ferroviaire et régulateurs/régulatrices de la circulation maritime"
"98",2281,"Techniciens/techniciennes de réseau informatique"
"99",2282,"Agents/agentes de soutien aux utilisateurs"
"100",2283,"Évaluateurs/évaluatrices de systèmes informatiques"
"101",3011,"Coordonnateurs/coordonnatrices et superviseurs/superviseures des soins infirmiers"
"102",3012,"Infirmiers autorisés/infirmières autorisées et infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées"
"103",3111,"Médecins spécialistes"
"104",3112,"Omnipraticiens/omnipraticiennes et médecins en médecine familiale"
"105",3113,"Dentistes"
"106",3121,"Optométristes"
"107",3124,"Praticiens/praticiennes reliés en soins de santé primaire"
"108",3125,"Autres professionnels/professionnelles en diagnostic et en traitement de la santé"
"109",3131,"Pharmaciens/pharmaciennes"
"110",3132,"Diététistes et nutritionnistes"
"111",3141,"Audiologistes et orthophonistes"
"112",3142,"Physiothérapeutes"
"113",3143,"Ergothérapeutes"
"114",3144,"Autres professionnels/professionnelles en thérapie et en diagnostic"
"115",3211,"Technologues de laboratoires médicaux"
"116",3212,"Techniciens/techniciennes de laboratoire médical et assistants/assistantes en pathologie"
"117",3214,"Inhalothérapeutes, perfusionnistes cardiovasculaires et technologues cardiopulmonaires"
"118",3215,"Technologues en radiation médicale"
"119",3216,"Technologues en échographie"
"120",3217,"Technologues en cardiologie et technologues en électrophysiologie diagnostique, n.c.a."
"121",3219,"Autres technologues et techniciens/techniciennes des sciences de la santé (sauf soins dentaires)"
"122",3222,"Hygiénistes et thérapeutes dentaires"
"123",3232,"Praticiens/praticiennes des médecines douces"
"124",3233,"Infirmiers auxiliaires/infirmières auxiliaires"
"125",3234,"Personnel ambulancier et paramédical"
"126",3237,"Autre personnel technique en thérapie et en diagnostic"
"127",3411,"Assistants/assistantes dentaires"
"128",3413,"Aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires"
"129",3414,"Autre personnel de soutien des services de santé"
"130",4012,"Assistants/assistantes d'enseignement et de recherche au niveau postsecondaire"
"131",4021,"Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle"
"132",4031,"Enseignants/enseignantes au niveau secondaire"
"133",4151,"Psychologues"
"134",4152,"Travailleurs sociaux/travailleuses sociales"
"135",4154,"Personnel professionnel relié à la religion"
"136",4155,"Agents/agentes de probation et de libération conditionnelle et personnel assimilé"
"137",4156,"Conseillers/conseillères en emploi"
"138",4161,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes, en sciences naturelles et appliquées"
"139",4163,"Agents/agentes de développement économique, recherchistes et experts-conseils/expertes-conseils en marketing"
"140",4164,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques sociales"
"141",4167,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programme en sports, en loisirs et en conditionnement physique"
"142",4168,"Agents/agentes de programmes propres au gouvernement"
"143",4169,"Autres professionnels/professionnelles des sciences sociales, n.c.a."
"144",4211,"Techniciens/techniciennes juridiques et personnel assimilé"
"145",4214,"Éducateurs/éducatrices et aides-éducateurs/aides-éducatrices de la petite enfance"
"146",4216,"Autres instructeurs/instructrices"
"147",4217,"Autre personnel relié à la religion"
"148",4311,"Policiers/policières (sauf cadres supérieurs)"
"149",4312,"Pompiers/pompières"
"150",4411,"Gardiens/gardiennes d'enfants en milieu familial"
"151",4412,"Aides familiaux résidents/aides familiales résidentes, aides de maintien à domicile et personnel assimilé"
"152",4422,"Agents/agentes de services correctionnels"
"153",4423,"Agents/agentes d'application de règlements municipaux et autres agents/agentes de réglementation, n.c.a."
"154",5111,"Bibliothécaires"
"155",5112,"Restaurateurs/restauratrices et conservateurs/conservatrices"
"156",5125,"Traducteurs/traductrices, terminologues et interprètes"
"157",5131,"Producteurs/productrices, réalisateurs/réalisatrices, chorégraphes et personnel assimilé"
"158",5132,"Chefs d'orchestre, compositeurs/compositrices et arrangeurs/arrangeuses"
"159",5133,"Musiciens/musiciennes et chanteurs/chanteuses"
"160",5134,"Danseurs/danseuses"
"161",5135,"Acteurs/actrices et comédiens/comédiennes"
"162",5136,"Peintres, sculpteurs/sculpteures et autres artistes des arts visuels"
"163",5211,"Techniciens/techniciennes dans les bibliothèques et les services d'archives publiques"
"164",5212,"Personnel technique des musées et des galeries d'art"
"165",5223,"Techniciens/techniciennes en graphisme"
"166",5226,"Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène"
"167",5227,"Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène"
"168",5231,"Annonceurs/annonceures et autres communicateurs/communicatrices"
"169",5232,"Autres artistes de spectacle, n.c.a."
"170",5241,"Designers graphiques et illustrateurs/illustratrices"
"171",5242,"Designers d'intérieur et décorateurs/décoratrices d'intérieur"
"172",5243,"Ensembliers/ensemblières de théâtre, dessinateurs/dessinatrices de mode, concepteurs/conceptrices d'expositions et autres concepteurs/conceptrices artistiques"
"173",5244,"Artisans/artisanes"
"174",5252,"Entraîneurs/entraîneuses"
"175",6311,"Superviseurs/superviseures des services alimentaires"
"176",6312,"Gouvernants principaux/gouvernantes principales"
"177",6313,"Superviseurs/superviseures des services d'hébergement, de voyages, de tourisme et des services connexes"
"178",6314,"Superviseurs/superviseures des services d'information et des services à la clientèle"
"179",6321,"Chefs"
"180",6322,"Cuisiniers/cuisinières"
"181",6331,"Bouchers/bouchères, coupeurs/coupeuses de viande et poissonniers/poissonnières – commerce de gros et de détail"
"182",6332,"Boulangers-pâtissiers/boulangères-pâtissières"
"183",6341,"Coiffeurs/coiffeuses et barbiers"
"184",6342,"Tailleurs/tailleuses, couturiers/couturières, fourreurs/fourreuses et modistes"
"185",6343,"Cordonniers/cordonnières et fabricants/fabricantes de chaussures"
"186",6344,"Bijoutiers/bijoutières, réparateurs/réparatrices de bijoux, horlogers-rhabilleurs/horlogères-rhabilleuses et personnel assimilé"
"187",6345,"Tapissiers-garnisseurs/tapissières-garnisseuses"
"188",6346,"Directeurs/directrices de funérailles et embaumeurs/embaumeuses"
"189",6511,"Maîtres d'hôtel et hôtes/hôtesses"
"190",6513,"Serveurs/serveuses d'aliments et de boissons"
"191",6521,"Conseillers/conseillères en voyages"
"192",6522,"Commissaires et agents/agentes de bord"
"193",6523,"Agents/agentes à la billetterie et aux services aériens"
"194",6524,"Agents/agentes à la billetterie, représentants/représentantes du service en matière de fret et personnel assimilé dans le transport routier et maritime"
